지역명,연도,월,분양가격
전북,2013,9,8076
전북,2013,10,8165
전북,2013,11,8189
전북,2013,12,8182
전북,2014,1,8192
전북,2014,2,8094
전북,2014,3,8105
전북,2014,4,8096
전북,2014,5,8272
전북,2014,6,8270
전북,2014,7,8238
전북,2014,8,8266
전북,2014,9,8297
전북,2014,10,8417
전북,2014,11,8574
전북,2014,12,8543
전북,2015,1,8781
전북,2015,2,8872
전북,2015,3,8758
전북,2015,4,8632
전북,2015,5,8761
전북,2015,6,8819
전북,2015,7,8689
전북,2015,8,8678
